quartil,metrica_qualidade,n,media,mediana,desvio
Q1 (baixo),CBO (mediana),259,9.0628,8.8558,3.3938
Q1 (baixo),DIT (mediana),259,2.4035,2.427,0.4882
Q1 (baixo),LCOM (mediana),259,36.2996,33.2572,30.2793
Q2,CBO (mediana),245,9.2523,9.2935,3.4939
Q2,DIT (mediana),245,2.4497,2.4433,0.5287
Q2,LCOM (mediana),245,30.2742,25.8605,25.3219
Q3,CBO (mediana),250,9.3931,9.4283,3.2491
Q3,DIT (mediana),250,2.5396,2.551,0.5493
Q3,LCOM (mediana),250,35.9559,29.6624,31.8075
Q4 (alto),CBO (mediana),246,8.9238,8.4687,3.5987
Q4 (alto),DIT (mediana),246,2.5251,2.5564,0.5354
Q4 (alto),LCOM (mediana),246,34.4825,30.9098,27.0112
